codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao,capacidadePeVeiculo,capacidadeSentadoVeiculo,datetime_registro
902103,,41,-22.892537,-43.348429,1761602546000,17.3,3543,ida,41 - PAULO DA PORTELA X TERMINAL RECREIO (EXPRESSO) [IDA],134960.4,206,1,0,0,2025-10-27 19:02:35.131661-03:00
901001,RJD7J89,22,-23.006779,-43.312988,1761602547000,0.0,8971,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],215391.8,103,1,0,0,2025-10-27 19:02:35.131661-03:00
901050,,35,-22.958544,-43.383153,1761602533000,25.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],20291.7,255,1,0,0,2025-10-27 19:02:35.131661-03:00
901077,,52,-22.877875,-43.402576,1761602549000,45.6,9161,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],208812.9,105,1,0,0,2025-10-27 19:02:35.131661-03:00
903045,,17,-22.901653,-43.556261,1761602527000,0.0,10580,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],13407.6,255,1,0,0,2025-10-27 19:02:35.131661-03:00
902119,,43,-22.856363,-43.256175,1761602534000,27.9,4050,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],138038.1,41,1,0,0,2025-10-27 19:02:35.131661-03:00
901058,,51,-23.008547,-43.440021,1761602538000,0.0,3551,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],285244.2,69,1,0,0,2025-10-27 19:02:35.131661-03:00
902105,,40,-22.970674,-43.389015,1761602542000,28.6,8972,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],132217.299,127,1,0,0,2025-10-27 19:02:35.131661-03:00
901071,,22,-23.000028,-43.350089,1761602550000,46.1,8971,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],278270.6,271,1,0,0,2025-10-27 19:02:35.131661-03:00
903027,,42,-22.838021,-43.285154,1761602533000,23.3,9449,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],63644.6,104,1,0,0,2025-10-27 19:02:35.131661-03:00
901066,,53,-22.973317,-43.378519,1761602548000,43.7,8966,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],18362.5,91,1,0,0,2025-10-27 19:02:35.131661-03:00
903026,,0,-22.876674,-43.329438,1760150685000,0.0,,,,222720.1, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903029,,42,-22.849434,-43.264679,1761602545000,51.3,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],217590.4,323,1,0,0,2025-10-27 19:02:35.131661-03:00
902116,,40,-23.001377,-43.36458,1761601466000,11.6,8973,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],147329.0,90,1,0,0,2025-10-27 19:02:35.131661-03:00
903028,,42,-22.84051,-43.239842,1761602549000,12.9,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],251546.5,214,1,0,0,2025-10-27 19:02:35.131661-03:00
901061,,51,-22.943408,-43.394355,1761602542000,60.0,3551,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],315217.1,354,1,0,0,2025-10-27 19:02:35.131661-03:00
903030,,42,-22.853102,-43.314293,1761602524000,0.0,9449,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],0.0,128,1,0,0,2025-10-27 19:02:35.131661-03:00
903057,,0,-22.920566,-43.608453,1750678855000,0.0,,,,0.0, ,0,0,0,2025-10-27 19:02:35.131661-03:00
901051,,35,-22.965803,-43.391063,1761602426000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],214290.5, ,0,0,0,2025-10-27 19:02:35.131661-03:00
901064,,53,-23.001445,-43.366685,1761602341000,7.1,8967,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],298510.4,93,1,0,0,2025-10-27 19:02:35.131661-03:00
902107,,46,-22.9235,-43.373797,1761599228000,39.4,144,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],137543.3,174,1,0,0,2025-10-27 19:02:35.131661-03:00
901049,,51,-22.910752,-43.400781,1761602478000,35.0,3551,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],164895.0,4,1,0,0,2025-10-27 19:02:35.131661-03:00
901073,,53,-22.970244,-43.400099,1761602549000,12.7,8967,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],87821.7,42,1,0,0,2025-10-27 19:02:35.131661-03:00
901048,,35,-22.897447,-43.351878,1761602546000,21.3,109,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],237813.5,37,1,0,0,2025-10-27 19:02:35.131661-03:00
901065,,53,-22.973262,-43.380891,1761602531000,36.9,8966,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],273686.5,90,1,0,0,2025-10-27 19:02:35.131661-03:00
903031,,42,-22.876561,-43.329568,1761220160000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],227442.0,84,0,0,0,2025-10-27 19:02:35.131661-03:00
902092,,40,-22.888723,-43.345984,1761602548000,30.7,8973,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],132216.0,32,1,0,0,2025-10-27 19:02:35.131661-03:00
903032,,42,-22.876926,-43.329692,1761598606000,1.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],193650.3,146,0,0,0,2025-10-27 19:02:35.131661-03:00
901075,,52,-22.853716,-43.384252,1761601823000,0.0,9161,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],308671.5, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903055,,17,-22.906694,-43.574466,1761602535000,24.3,10580,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],105965.2,184,1,0,0,2025-10-27 19:02:35.131661-03:00
902112,,0,-22.891877,-43.348053,1761602531000,0.0,,,,131632.4,210,1,0,0,2025-10-27 19:02:35.131661-03:00
903037,,17,-22.919365,-43.646174,1761601980000,0.0,10579,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],126439.3, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903002,,42,-22.839959,-43.239363,1761602519000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],91945.8,144,1,0,0,2025-10-27 19:02:35.131661-03:00
901080,,52,-22.971649,-43.40104,1761602508000,24.5,9162,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],274117.6,202,1,0,0,2025-10-27 19:02:35.131661-03:00
902110,,43,-22.882016,-43.341843,1761602306000,0.0,4050,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],135868.6,6,1,0,0,2025-10-27 19:02:35.131661-03:00
902114,,43,-22.856589,-43.327968,1761602539000,44.3,4050,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],124589.4,76,1,0,0,2025-10-27 19:02:35.131661-03:00
902078,,40,-22.945752,-43.371954,1761602549000,49.6,8972,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],128729.1,348,1,0,0,2025-10-27 19:02:35.131661-03:00
902111,,40,-22.933064,-43.372772,1761602538000,40.7,8973,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],139780.2,337,1,0,0,2025-10-27 19:02:35.131661-03:00
902025,,40,-22.949161,-43.372676,1761602548000,18.9,8973,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],120050.8,21,1,0,0,2025-10-27 19:02:35.131661-03:00
903054,,17,-22.903086,-43.55646,1761601931000,13.3,10579,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],175061.6,11,1,0,0,2025-10-27 19:02:35.131661-03:00
903056,,17,-22.925108,-43.67912,1761602462000,45.3,10579,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],163598.7,174,1,0,0,2025-10-27 19:02:35.131661-03:00
903000,,42,-22.850352,-43.308953,1761602543000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],202894.4,234,1,0,0,2025-10-27 19:02:35.131661-03:00
903058,,17,-22.929616,-43.674964,1761602537000,42.4,10580,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],114207.1,311,1,0,0,2025-10-27 19:02:35.131661-03:00
901072,,53,-23.001617,-43.365132,1761601992000,33.8,8967,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],239651.2,104,1,0,0,2025-10-27 19:02:35.131661-03:00
902045,,41,-22.970247,-43.400132,1761602483000,0.0,3542,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],159513.2,40,1,0,0,2025-10-27 19:02:35.131661-03:00
903008,,42,-22.876933,-43.329923,1761596938000,0.1,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],226178.2,141,0,0,0,2025-10-27 19:02:35.131661-03:00
903007,,42,-22.83766,-43.290419,1761602550000,29.6,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],255377.1,250,1,0,0,2025-10-27 19:02:35.131661-03:00
903004,,42,-22.857567,-43.257561,1761602532000,0.0,9449,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],213002.4,96,1,0,0,2025-10-27 19:02:35.131661-03:00
903006,,42,-22.877168,-43.329953,1761227612000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],232327.2, ,0,0,0,2025-10-27 19:02:35.131661-03:00
901046,,53,-23.001393,-43.36766,1761602544000,10.2,8967,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],68774.4,85,1,0,0,2025-10-27 19:02:35.131661-03:00
903005,,42,-22.84301,-43.238999,1761602549000,59.3,9449,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],200120.5,349,1,0,0,2025-10-27 19:02:35.131661-03:00
903022,,42,-22.876959,-43.329849,1759949888000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],264082.2,143,0,0,0,2025-10-27 19:02:35.131661-03:00
903035,,17,-22.917502,-43.68341,1761602549000,0.0,10579,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],19420.7,345,1,0,0,2025-10-27 19:02:35.131661-03:00
901059,,35,-22.964756,-43.391456,1761599292000,0.4,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],298810.9,82,0,0,0,2025-10-27 19:02:35.131661-03:00
903003,,42,-22.872939,-43.336249,1761602541000,30.3,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],214094.3,151,1,0,0,2025-10-27 19:02:35.131661-03:00
901019,,40,-22.87861,-43.336302,1761602540000,0.0,8972,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],233131.4,2,1,0,0,2025-10-27 19:02:35.131661-03:00
901020,,53,-22.965537,-43.391637,1761601812000,0.0,8966,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],3040.3,155,0,0,0,2025-10-27 19:02:35.131661-03:00
901021,,52,-22.899336,-43.39762,1761602511000,60.8,9161,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],210982.7,163,1,0,0,2025-10-27 19:02:35.131661-03:00
901022,,53,-22.98715,-43.365637,1761602372000,45.8,8967,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],263879.0,1,1,0,0,2025-10-27 19:02:35.131661-03:00
901023,,53,-22.958229,-43.393152,1761602526000,60.4,8966,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],58938.1,153,1,0,0,2025-10-27 19:02:35.131661-03:00
901024,,35,-22.965599,-43.390376,1761602549000,42.4,109,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],192597.0,2,1,0,0,2025-10-27 19:02:35.131661-03:00
901025,,22,-23.00034,-43.346216,1761602532000,44.5,8970,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],241191.9,91,1,0,0,2025-10-27 19:02:35.131661-03:00
901026,,35,-22.878449,-43.336332,1761602546000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],276400.9,356,1,0,0,2025-10-27 19:02:35.131661-03:00
901027,,0,-22.886731,-43.400798,1761602542000,0.0,,,,254325.1,6,1,0,0,2025-10-27 19:02:35.131661-03:00
901028,,35,-22.94755,-43.372087,1761602543000,29.7,109,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],216539.1,17,1,0,0,2025-10-27 19:02:35.131661-03:00
903001,,42,-22.83972,-43.239672,1761602548000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],209816.5,143,1,0,0,2025-10-27 19:02:35.131661-03:00
901029,,53,-22.973354,-43.366257,1761602547000,50.0,8967,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],250172.2,264,1,0,0,2025-10-27 19:02:35.131661-03:00
901031,,35,-23.001453,-43.367732,1761602488000,14.2,109,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],17905.3,88,1,0,0,2025-10-27 19:02:35.131661-03:00
901032,,22,-23.000143,-43.346313,1761602544000,27.4,8971,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],240992.9,269,1,0,0,2025-10-27 19:02:35.131661-03:00
901033,,35,-22.929802,-43.373445,1761602537000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],231703.3,176,1,0,0,2025-10-27 19:02:35.131661-03:00
901034,,22,-23.001068,-43.3303,1761602547000,45.7,8970,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],18380.5,102,1,0,0,2025-10-27 19:02:35.131661-03:00
901035,,53,-22.890102,-43.400795,1761602538000,59.7,8966,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],259305.3,175,1,0,0,2025-10-27 19:02:35.131661-03:00
901036,,52,-22.973392,-43.37692,1761602539000,38.8,9161,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],229462.0,91,1,0,0,2025-10-27 19:02:35.131661-03:00
901037,,35,-22.964604,-43.391785,1761597701000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],225049.3,348,0,0,0,2025-10-27 19:02:35.131661-03:00
901038,,35,-22.888707,-43.346133,1761602535000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],251423.4,215,1,0,0,2025-10-27 19:02:35.131661-03:00
901039,,52,-22.931468,-43.395174,1761602542000,40.2,9161,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],228883.6,190,1,0,0,2025-10-27 19:02:35.131661-03:00
901040,,35,-22.998618,-43.367591,1761602550000,45.6,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],18307.2,227,1,0,0,2025-10-27 19:02:35.131661-03:00
901041,,40,-22.964578,-43.392171,1761598852000,0.0,8972,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],224654.9,347,0,0,0,2025-10-27 19:02:35.131661-03:00
901042,,35,-23.001334,-43.365737,1761602550000,7.6,109,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],226791.8,84,1,0,0,2025-10-27 19:02:35.131661-03:00
901043,,22,-23.006468,-43.312723,1761602535000,0.0,8971,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],199626.3,208,1,0,0,2025-10-27 19:02:35.131661-03:00
901054,,22,-22.999952,-43.354934,1761602534000,0.0,8971,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],65992.6,265,1,0,0,2025-10-27 19:02:35.131661-03:00
903009,,42,-22.876579,-43.329644,1752597398000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],234260.4, ,1,0,0,2025-10-27 19:02:35.131661-03:00
903010,,42,-22.876588,-43.329462,1761600839000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],37511.4,72,0,0,0,2025-10-27 19:02:35.131661-03:00
903011,,42,-22.876957,-43.330091,1761597569000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],275645.7, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903012,,42,-22.879087,-43.339223,1761602546000,31.4,9449,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],247009.1,87,1,0,0,2025-10-27 19:02:35.131661-03:00
903015,,42,-22.839826,-43.24011,1761601332000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],13202.5,11,0,0,0,2025-10-27 19:02:35.131661-03:00
903016,,42,-22.854776,-43.253288,1761602534000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],267748.0,284,1,0,0,2025-10-27 19:02:35.131661-03:00
903017,,42,-22.81422,-43.246545,1761602533000,18.4,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],223040.2,152,1,0,0,2025-10-27 19:02:35.131661-03:00
